property_id,price,property_subtype,province,locality_name,postal_code,latitude,longitude,living_area,surface_of_good,number_of_facades,kitchen_type,furnished,open_fire,terrace,terrace_area,garden,garden_area,swimming_pool,state_of_building
19609000,114900.0,FLAT_STUDIO,Brussels,Brussels,1090,50.8934178,4.3219938,38.0,,2.0,INSTALLED,0,0,1,6.0,0,0.0,0,MISSING
25851000,290000.0,APARTMENT,East Flanders,Sint-Niklaas,9100,51.1621782,4.1421408,224.0,,,MISSING,0,1,0,0.0,0,0.0,0,TO_RENOVATE
7604000,229000.0,APARTMENT,Flemish Brabant,Halle-Vilvoorde,1500,,,,,2.0,USA_HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,JUST_RENOVATED
61219000,299000.0,APARTMENT,West Flanders,Oostend,8430,51.180968,2.8157914,79.0,,,MISSING,0,0,1,11.0,0,0.0,0,GOOD
51792000,440000.0,APARTMENT,Liège,Liège,4000,,,125.0,,,INSTALLED,0,0,1,6.0,0,0.0,0,AS_NEW
18297000,270000.0,APARTMENT,West Flanders,Oostend,8434,51.1701818,2.7762123,62.0,,2.0,HYPER_EQUIPPED,1,0,1,,0,0.0,0,GOOD
44707000,336000.0,APARTMENT,West Flanders,Veurne,8630,51.0550052,2.6684668,114.0,,4.0,INSTALLED,0,0,1,13.0,1,52.0,0,AS_NEW
22075000,269900.0,APARTMENT,Liège,Liège,4100,50.5805176,5.5076822,121.0,,,NOT_INSTALLED,0,1,1,64.0,0,0.0,0,MISSING
57340000,261500.0,APARTMENT,East Flanders,Gent,9880,51.0872351,3.4484676,74.0,,2.0,HYPER_EQUIPPED,0,0,1,8.0,0,0.0,0,MISSING
14390000,975000.0,APARTMENT,West Flanders,Brugge,8300,51.3479553,3.2746839,67.0,,,MISSING,0,0,1,2.0,0,0.0,0,AS_NEW
26789000,175000.0,APARTMENT,Hainaut,Soignies,7060,50.5752892,4.0729994,95.0,,2.0,MISSING,0,0,0,0.0,0,0.0,0,MISSING
19346000,442500.0,PENTHOUSE,Flemish Brabant,Halle-Vilvoorde,1730,50.909879,4.1947611,141.0,,,HYPER_EQUIPPED,0,0,1,48.0,0,0.0,0,MISSING
9384000,209000.0,APARTMENT,West Flanders,Brugge,8301,51.3396008,3.2424075,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,MISSING
36732000,240000.0,APARTMENT,Brussels,Brussels,1070,50.8393155,4.2915276,95.0,,4.0,USA_INSTALLED,0,0,0,0.0,0,0.0,0,GOOD
48831000,249000.0,APARTMENT,Namur,Namur,5300,50.5191223,5.0808182,87.0,,,HYPER_EQUIPPED,0,0,1,10.0,0,0.0,0,AS_NEW
55226000,625000.0,PENTHOUSE,West Flanders,Veurne,8660,51.1017394,2.5866038,80.0,,2.0,INSTALLED,1,0,1,190.0,0,0.0,0,GOOD
3944000,339000.0,APARTMENT,Antwerp,Antwerp,2180,51.2931297,4.4432314,99.0,,2.0,INSTALLED,0,1,1,9.0,0,0.0,0,MISSING
45032000,283000.0,APARTMENT,Flemish Brabant,Leuven,3200,50.9891993,4.8324086,81.0,,4.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,GOOD
56083000,219000.0,APARTMENT,Liège,Verviers,4700,50.6436937,6.0447625,59.0,,,HYPER_EQUIPPED,0,1,0,0.0,0,0.0,0,MISSING
22771000,265000.0,APARTMENT,Liège,Liège,4051,50.5962374,5.63098,103.0,,2.0,INSTALLED,0,0,1,10.0,0,0.0,0,MISSING
50892000,173500.0,APARTMENT,West Flanders,Oostend,8400,51.2134554,2.8838177,,,2.0,MISSING,0,0,1,,0,0.0,0,GOOD
11661000,210000.0,APARTMENT,Antwerp,Turnhout,2300,51.32215,4.9399338,119.0,,2.0,SEMI_EQUIPPED,0,1,1,,0,0.0,0,TO_BE_DONE_UP
53423000,262947.0,APARTMENT,Antwerp,Mechelen,2500,51.1251815,4.5834699,89.0,,2.0,INSTALLED,0,1,1,9.0,0,0.0,0,MISSING
36750000,179500.0,APARTMENT,West Flanders,Oostend,8400,51.2166587,2.9136548,84.0,,,MISSING,0,0,0,0.0,1,21.0,0,GOOD
76154000,270000.0,APARTMENT,Antwerp,Antwerp,2050,51.2287925,4.3869689,87.0,,2.0,USA_HYPER_EQUIPPED,0,0,1,5.0,0,0.0,0,MISSING
79164000,549000.0,APARTMENT,Antwerp,Turnhout,2300,51.3210605,4.9417139,210.0,,,MISSING,0,0,0,0.0,0,0.0,0,AS_NEW
19085000,440000.0,APARTMENT,Brussels,Brussels,1083,50.8754815,4.3088171,165.0,,,MISSING,0,0,1,44.0,0,0.0,0,TO_BE_DONE_UP
67458000,272000.0,APARTMENT,East Flanders,Oudenaarde,9700,50.8401636,3.6117193,56.0,,,MISSING,0,0,0,0.0,0,0.0,0,MISSING
41341000,350000.0,APARTMENT,West Flanders,Veurne,8630,51.0729505,2.6670336,131.0,,2.0,MISSING,0,0,0,0.0,0,0.0,0,MISSING
67979000,265000.0,FLAT_STUDIO,Brussels,Brussels,1080,50.8526436,4.3400451,59.0,,2.0,USA_HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,AS_NEW
28125000,349000.0,APARTMENT,Liège,Liège,4671,50.6558619,5.6753962,112.0,,,INSTALLED,0,0,1,29.0,0,0.0,0,AS_NEW
